date,location,organiser,Title,band_1,band_2,band_3,band_4,band_5,band_6,poster_url,links
2026-05-16,underground,stoa60,gig,ΚΑΘΑΡΟΣ ΧΑΛΚΟΣ,ΑΡΚΟΥΔΕΣ ΤΩΝ ΑΓΩΓΩΝ ΤΗΣ ΠΟΛΥΚΑΤΟΙΚΙΑΣ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-05-16_kathares-arkoudes.jpg,ΚΑΘΑΡΟΣ ΧΑΛΚΟΣ=https://katharoschalkos.bandcamp.com/album/-|ΑΡΚΟΥΔΕΣ ΤΩΝ ΑΓΩΓΩΝ ΤΗΣ ΠΟΛΥΚΑΤΟΙΚΙΑΣ=https://www.youtube.com/watch?v=aArwHqZA-7Y
2026-05-09,underground,stoa60,gig,DISMISS,THYMICS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-05-09_thymics.jpg,DISMISS=https://dismissband.bandcamp.com/music|THYMICS=https://thymics.bandcamp.com/album/nothing
2026-05-02,underground,stoa60,gig,ΣΟΜΑ,MALHOTRA,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-05-02_somalhotra.jpg,ΣΟΜΑ=https://somamesoma.bandcamp.com/music|MALHOTRA=https://malhotra.bandcamp.com/album/ruler-sun
2026-04-25,underground,stoa60,gig,JUNKHEART,ΠΟΝΤΙΚΙΑ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-04-25_junkheart_pontikia.jpg,
2026-04-18,underground,stoa60,gig,ΑΧΕΟΝ,VEIL OMEGA,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-04-18_axeon_veil2.jpg,
2026-04-01,underground,stoa60,gig,SHORT DAYS,ΕΝΤΕΡΟΝ ΗΜΙΣΗ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-04-01_shortdays.jpg,
2026-03-27,underground,stoa60,Soundsystem,STOA SUBATOMIC vol.1,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-03-27_subatomic.jpg,
2026-03-21,underground,stoa60,gig,AETHERIAN,FLAMECORE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-03-21_aetherian.jpg,
2026-03-14,underground,stoa60,gig,BLOODTRACE,YOUTHCRUSHER,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-03-14_youth.jpg,
2026-03-07,underground,stoa60,gig,INVALTA,ΒΑΚΙΡΤΖΙΑΝ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-03-07_invalta.jpg,
2026-02-28,underground,stoa60,gig,KRATS,HAND & LEG,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-02-28_kratsHand.jpg,
2026-02-14,underground,stoa60,gig,OMEGA MONOLITH,CALF,LIVING UNDER DRONES,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-02-14_omega.jpg,
2026-02-07,underground,stoa60,gig,ZERO CHANCE,OTOΜΠΡΙΤΣΙ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-02-07_otompritsi.jpg,
2026-01-31,underground,stoa60,gig,STOLEN MIC,ΣΗΜΑΔΙ,ΔΡΑΜΑ ΚΩΜΙΚΟΥ,ΧΩΡΙΣ ΚΑΝΟΝΑ,WONE,ΦΛΥΑΡΙΑ,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-01-31_stolen.jpg,
2026-01-24,underground,stoa60,gig,KVADRAT,1000DEAD,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-01-24_kvadrat.jpg,
2026-01-17,underground,stoa60,gig,THE KLAMMERS,MELLOW LIZARD,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-01-17_klammers.jpg,
2026-01-10,underground,stoa60,gig,DOT ON EARTH,LUSTTONE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2026-01-10_dotonearth.jpg,
2025-12-20,underground,stoa60,Bar,DARKNESS BEFORE CHRISTMAS,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2025-2026/2025-12-20_darkness.jpg,
